title,plot_synopsis,plot_synopsis_sum
the wizard of oz,"The film begins in Kansas, which is depicted in a sepia tone. Dorothy Gale lives with her dog Toto on the farm of her Aunt Em and Uncle Henry. Dorothy's dog gets in trouble with a mean neighbor, Miss Almira Gulch, when Toto bites her. However, Dorothy's family and the farmhands are all too busy to pay her any attention. Miss Gulch arrives with permission from the sheriff to have Toto put down. She takes him away, but he escapes and returns to Dorothy, who then decides to run away from home, fearing that Miss Gulch will return.
They meet Professor Marvel, a phony but kindly fortune teller, who ","Dorothy Gale lives with her dog Toto on the farm of her Aunt Em and Uncle Henry. The film begins in Kansas, which is depicted in a sepia tone."
beauty and the beast,"The story begins when an old gentleman, father of five children, finds himself amidst great financial troubles. He had received news of his numerous ships carrying his valuable cargo being caught and destroyed in the China Sea. Finding himself in great debts, the heartbroken old gentleman sees no other option but to sell all of his property and move then with his children to the countryside, where they may begin a new life, without any real luxuries or riches. Though his two spoiled daughters, Alicia and Pauline are not happy with the change, his three other children, the two boys Robert and N","The story begins when an old gentleman, father of five children, finds himself amidst great financial troubles. He had received news of his numerous ships carrying his valuable cargo being caught and destroyed in the China Sea. Finding himself in great debts, the heartbroken old gentleman sees no other option but to sell all of his property."
beauty and the beast,"In the prologue, told through stained glass windows, an old beggar woman arrives at the castle of a French prince. The woman asks for shelter from the cold, and in return, offers the young prince a rose. Repulsed by her appearance, the prince turns her away. The beggar warns him not to judge by appearances, but the Prince ignores her and shuts the door on her. The woman then throws off her disguise, revealing that she is a beautiful enchantress. The Prince tries to apologize, but she has already seen the lack of kindness in his heart. She conjures a powerful curse, transforming him into a hide","In the prologue, told through stained glass windows, an old beggar woman arrives at the castle of a French prince. Repulsed by her appearance, the prince turns her away. The woman then throws off her disguise, revealing that she is a beautiful enchantress."
bambi,"1. A miracle in the woodsIn the depth of the forest, dawn was breaking. Trees grew so thickly here, that the morning first rays of sunlight could hardly break trough. The air was still and blue with mist. The faint, silvery sound of a distant waterfall was the only noise to be heard.A few drowsy birds were just beginning to greet the new day as a huge old owl swooped silently towards the hollow tree where he made his home. The world was waking up all around him. A little wood-mouse slipped out of her nest to wash her face in a dewdrop. Three baby sparrows cheeped shrilly as their mother brough","Dawn was breaking in the forest where the author spent the night. The air was still and blue with mist. The faint, silvery sound of a distant waterfall was the only noise."
mulan,"During the Han Dynasty in ancient China, the legendary Great Wall fails to keep out the notorious Hun army and their ruthless leader, Shan Yu (Miguel Ferrer). The alarm is raised, and the Emperor (Pat Morita) entrusts General Li (James Shigeta) with mobilizing an army to protect China. The wise Emperor reminds the general that ""one man can be the difference between victory and defeat.""Fa Mulan (Ming-Na Wen), the teenage daughter of prosperous farmer Fa Zhou (Soon-Tek Oh), nervously prepares for her meeting with the village matchmaker (Miriam Margolyes). Though clever and kindhearted, Mulan is ","During the Han Dynasty in ancient China, the legendary Great Wall fails to keep out the notorious Hun army. The alarm is raised, and the Emperor entrusts General Li with mobilizing an army to protect China. The wise Emperor reminds the general that ""one man can be the difference between victory and defeat"""
the little mermaid,"The story begins when Lena, a pretty little mermaid princess, is playing at the bottom of the sea with her friend Vink, a dolphin. Vink is troubled, for he has let Lena know about her surprise birthday party and he is sure that Lena's sister Tris will be upset when she learns of it. On the other hand, Lena is very happy about the party and cheerfully welcomes every one of her sea friends that she comes across. After a few minutes playing, Lena and Vink decide to swim to the castle, where Lena enters the great room in which the celebration is to take place and sees all of her sisters working ve","The story begins when Lena, a pretty little mermaid princess, is playing at the bottom of the sea with her friend Vink, a dolphin. Vink is troubled, for he has let Lena know about her surprise birthday party and he is sure that Lena's sister Tris will be upset when she learns of it. Lena is very happy about the party and cheerfully welcomes every one of her sea friends that she comes across."
shrek,"A Scottish man (voiced by Mike Myers) reads a fairy tale from a book:""Once upon a time there was a lovely princess. But she had an enchantment upon her of a fearful sort which could only be broken by love's first kiss. She was locked away in a castle guarded by a terrible fire-breathing dragon. Many brave knights had attempted to free her from this dreadful prison but none prevailed. She waited in the dragon's keep in the highest room of the tallest tower for her true love and true love's first kiss.""(laughing) A green hand rips the page out of the book. ""Like that's ever gonna happen."" Cut to","A Scottish man (voiced by Mike Myers) reads a fairy tale from a book. A green hand rips the page out of the book. ""Like that\'s ever gonna happen,"" he says."
gladiator,"In AD 180, Hispano-Roman General Maximus Decimus Meridius leads the Roman army to victory against the Germanic tribes near Vindobona on the Limes Germanicus. Now weary of battle, Maximus only desires to retire to his estate. But Emperor Marcus Aurelius tells him that his own son and heir, Commodus, is unfit to rule and that he will appoint Maximus as regent to help save Rome from corruption. When the Emperor reveals his plan to his son, Commodus murders him in a fit of rage.
Commodus announces he is the new Emperor and asks Maximus for his loyalty. When the general refuses, he is arrested by h","In AD 180, General Maximus Decimus Meridius leads the Roman army to victory against the Germanic tribes near Vindobona on the Limes Germanicus. Now weary of battle, Maximus only desires to retire to his estate. But Emperor Marcus Aurelius tells him that his own son and heir, Commodus, is unfit to rule and that he will appoint Maximus as regent to help save Rome from corruption. When the Emperor reveals his plan to his son,Commodus murders him in a fit of rage."
iron man,"A convoy of military Humvees drives across the Afghanistan desert. In one of them is billionaire weapons developer Tony Stark (Robert Downey Jr.), riding with soldiers on duty. He is joking with some members of a convoy who seem to be genuinely amused by his persona and his flamboyant public image. Suddenly, the convoy is ambushed by unseen gunmen. The soldiers fight to defend themselves but are quickly killed. Tony flees the Humvee, taking refuge behind a large rock. Moments later, a missile lands nearby and explodes, but not before Tony sees the Stark Industries logo painted on it. Large amo",A convoy of military Humvees drives across the Afghanistan desert. In one of them is billionaire weapons developer Tony Stark. The soldiers fight to defend themselves but are quickly killed.
sleeping beauty,"King Stephen and his wife have been blessed with the birth of a daughter, Princess Aurora. Many travel to pay their respects to the birth of the Princess. Also attending the event, are King Hubert, and his son, Prince Phillip, who have journeyed from a neighboring kingdom. Through an agreement between the two rulers, Phillip is betrothed to Aurora, and their marriage will unite the two kingdoms when they come of age.Also in attendance, are the Three Good Fairies, Flora, Fauna, and Merryweather. Each has come to bestow a gift on the Princess. Flora gives the gift of beauty, Fauna the gift of so","King Stephen and his wife have been blessed with the birth of a daughter, Princess Aurora. Also attending the event, are King Hubert, and his son, Prince Phillip. Through an agreement between the two rulers, Phillip is betrothed to Aurora."
rocky,"Philadelphia Pennsylvania, home to the number one underdog fighter, Rocky Balboa (Sylvester Stalone). The date is November 25, 1975, Rocky is fighting Spider Rico in a prize fight at a local church arena. The fight goes smooth through the first couple of rounds. Before beginning the next round, Rocky and Spider get up from their corners after receiving advice from their corner-men and the fight continues. After a couple of punches, Spider grabs a hold of Rocky and headbutts him in the face. The crowd goes restless on Spider. Rocky, after recovering from the hit, goes after Spider and finishes ","Rocky is fighting Spider Rico in a prize fight at a local church arena. After a couple of punches, Spider grabs a hold of Rocky and headbutts him in the face. Rocky, after recovering from the hit, goes after Spider and finishes the fight."
2001: a space odyssey,"To Richard Strauss' tone poem ""Thus Spake Zarathustra,"" the title sequence shows the sun rising behind the Earth, which is behind the moon.The Dawn of ManIn a sere African landscape, a group of ape-like hominids and some tapirs compete for the meagre green plants. A leopard attacks an ape. While one group of apes is drinking at a waterhole, another group approaches; the two groups scream at each other and one party is driven off. At night the apes huddle in fear among the rocks. In the morning a tall, thin, rectangular black monolith stands among the rocks. The apes are excited but touch the o","The title sequence shows the sun rising behind the Earth, which is behind the moon. In a sere African landscape, a group of ape-like hominids and some tapirs compete for the meagre green plants. A leopard attacks an ape."
donnie darko,"Donnie Darko (Jake Gyllenhall) is a troubled teenager in suburban Maryland. A schizophrenic with a history of violence, he has recently stopped taking his medication and as a result is sleepwalking. His parents, Rose and Eddie (Mary McDonnell and Holmes Osborne) and his sisters, Elizabeth and Samantha (Maggie Gyllenhall and Daveigh Chase), worry about him. One night at dinner, Donnie and his sister get into a profane argument during which Elizabeth reveals she knows Donnie is no longer taking his medication. Rose confronts Donnie in his bedroom and he calls her a bitch. Guilty, Donnie resumes ","Donnie Darko (Jake Gyllenhall) is a troubled teenager in suburban Maryland. A schizophrenic with a history of violence, he has recently stopped taking his medication and as a result is sleepwalking."
avatar,"Opening scene: a camera sweeps high across the treeline of a lush, green world. Intercut is a sequence of images of Jake Sully (Sam Worthington), a crippled war veteran and former Marine. He wakes up in a giant spaceship on its way to Pandora, a lush Earth-like moon orbiting Polyphemus, a blue planet similar to Jupiter. He is one of a large number of passengers, all waking up after almost six years of cryosleep en route to Pandora. Drifting out of his sleeping pod in zero G he's tended by the ship's staff. He opens his locker, which is marked SULLY T. Then, through voice-over and flashback wit","Jake Sully (Sam Worthington) is a crippled war veteran and former Marine. He wakes up in a giant spaceship on its way to Pandora, a lush Earth-like moon orbiting Polyphemus, a blue planet similar to Jupiter."
v for vendetta,"""Remember, remember the fifth of November, the Gunpowder Treason and Plot. I know of no reason why the Gunpowder Treason should ever be forgot.""The film opens with a recitation of these words as a flashback sequence brings us to early 1600's England. Guy Fawkes is captured and executed for his attempt to blow up Parliament, a plan he hoped would restore Catholic rule to a Protestant throne.In the near future, in Great Britain, a young woman named Evey Hammond (Natalie Portman) is shown preparing to go out for the night while she watches a TV program hosted by Lewis Prothero (Roger Allam), the ",The film opens with a recitation of these words as a flashback sequence brings us to early 1600's England. Guy Fawkes is captured and executed for his attempt to blow up Parliament. He hoped to restore Catholic rule to a Protestant throne.
toy story,"A boy called Andy Davis (voice: John Morris) uses his toys to act out a bank robbery. The bank is a cardboard box, the robber is Mr. Potato Head (voice: Don Rickles) assisted by Slinky Dog (voice: Jim Varney), and the bystanders include Bo Peep (voice: Annie Potts) and her sheep. The day is saved by cowboy doll Woody (voice: Tom Hanks) playing the sheriff, with help from Rex the dinosaur (voice: Wallace Shawn). Woody is the only toy who gets to say his own lines because he has a pull-string that makes him say things like ""Reach for the sky!"" and ""You're my favorite deputy!""During the opening c","A boy uses his toys to act out a bank robbery. The bank is a cardboard box, the robber is Mr. Potato Head. The day is saved by cowboy doll Woody (voice: Tom Hanks) with help from Rex the dinosaur."
inside out,"A girl named Riley (Kaitlyn Dias) is born, and in her mind, Joy (Amy Poehler) and Sadness (Phyllis Smith) are created. As she grows into a young kid, the emotions Fear (Bill Hader), Anger (Lewis Black) and Disgust (Mindy Kaling) form, each one coloring the memories that power the islands in her mind. Since her first memory was scoring a goal in a game with her parents, she has Hockey Island, in addition to Goofball, Family, Honesty and Friendship Islands. Each island is connected to Headquarters via lightlines, and has the appearance of a small theme park. Joy can see how the other emotions ca","A girl named Riley (Kaitlyn Dias) is born, and in her mind, Joy (Amy Poehler) and Sadness (Phyllis Smith) are created. As she grows into a young kid, the emotions Fear (Bill Hader), Anger (Lewis Black) and Disgust (Mindy Kaling) form, each one coloring the memories that power the islands."
the little mermaid,"Ariel, a sixteen-year-old mermaid princess, is dissatisfied with life under the sea and curious about the human world. With her best fish friend Flounder, Ariel collects human artifacts and goes to the surface of the ocean to visit Scuttle the seagull, who offers very inaccurate and comical knowledge of human culture. Ignoring the warnings of her father (King Triton) and court musician (Sebastian the crab) that contact between merpeople and humans is forbidden (the sea's primary contact with humans involve fishermen, so King Triton considers humans as nothing more than mere predators), Ariel s","Ariel, a sixteen-year-old mermaid princess, is dissatisfied with life under the sea and curious about the human world. With her best fish friend Flounder, Ariel collects human artifacts."
the dark knight,"The movie begins with a gang of men with clown masks breaking into the bank where the mob has a large portion of their money stashed. It begins with five clowns, each getting a cut of the spoils. They suggest that a sixth member of the gang - nicknamed 'The Joker' - who did the planning, but sat out the robbery, doesn't deserve a cut. As the robbery goes on, the clowns begin to kill each other in order to get a larger cut, until a school bus crashes through the wall of the bank, killing another clown. A mob bank manager, who was himself shot with an automatic weapon after he tried to take out ","The movie begins with a gang of men with clown masks breaking into the bank where the mob has a large portion of their money stashed. It begins with five clowns, each getting a cut of the spoils. They suggest that a sixth member of the gang - nicknamed 'The Joker' - who did the planning, but sat out the robbery, doesn't deserve a cut."
the lord of the rings: the fellowship of the ring,"The prologue, spoken by Galadriel, shows the Dark Lord Sauron forging the One Ring which he can use to conquer the lands of Middle-earth through his enslavement of the bearers of the Rings of Power powerful magical rings given to individuals from the races of Elves, Dwarves and Men. A Last Alliance of Elves and Men is formed to counter Sauron and his forces at the foot of Mount Doom, but Sauron himself appears to kill Elendil, the High King of Arnor and Gondor, and Gil-galad, High King of the Noldor. After Elendil falls his son, Isildur, grabs his father's broken sword Narsil, and slashes at S","The prologue, spoken by Galadriel, shows the Dark Lord Sauron forging the One Ring which he can use to conquer the lands of Middle-earth. A Last Alliance of Elves and Men is formed to counter Sauron and his forces at the foot of Mount Doom. Sauron himself appears to kill Elendil, the High King of Arnor and Gondor."
back to the future,"The title logo appears on a black background. The scene opens in Dr. Emmett Brown's (Christopher Lloyd) garage/home laboratory as the camera pan over a large collection of clocks. A robotic tin can opener opens a tin of spoiled dog food and empties the contents into an overflowing dog food bowl marked ""Einstein"". The television set and radio turn on. On the TV, we see the ending of an advertisement, followed by a woman newscaster announcing the recent theft of a case of plutonium.The front door of the garage opens, and Marty McFly (Michael J. Fox) comes in. Marty calls out, then reaches down t","The scene opens in Dr. Emmett Brown\'s garage/home laboratory. A robotic tin can opener opens a tin of spoiled dog food and empties the contents into an overflowing dog food bowl marked ""Einstein"""
the lion king,"The Lion King takes place in the Pride Lands of Africa, where a lion rules over the other animals as king. As dawn breaks, all the animals of the Pride Lands are summoned to Pride Rock, the home of the pride of lions. Rafiki (Robert Guillaume), a mandrill, walks through the herd and climbs the face of Pride Rock to greet his friend, King Mufasa (James Earl Jones). Mufasa leads Rafiki to his mate Sarabi (Madge Sinclair) who is holding their newborn cub. Rafiki anoints the cub with fruit juices before presenting him to the gathered animals. The animals cheer and then bow to the new future king.M","The Lion King takes place in the Pride Lands of Africa, where a lion rules over the other animals as king. Rafiki (Robert Guillaume) anoints the cub with fruit juices before presenting him to the gathered animals."
the lord of the rings: the return of the king,"In the opening scene, a flashback, two hobbits, Sméagol (Andy Serkis) and his friend Déagol (Thomas Robins), are fishing the River Anduin near the Gladden Fields in the North of Middle Earth. Déagol is dragged into the river by a powerful catch and discovers the One Ring glinting in the river bed. He collects it and climbs out of the water. Sméagol sees him fondling it and as they both succumb to the Ring's power they begin to quarrel. Sméagol demands the Ring, saying that it's his birthday and it should be his present. The squabble turns into a fight; Sméagol strangles his friend with his bar","Two hobbits, Sméagol (Andy Serkis) and his friend Déagl (Thomas Robins), are fishing the River Anduin near the Gladden Fields in the North of Middle Earth. DéAGol is dragged into the river by a powerful catch and discovers the One Ring glinting in the river bed. He collects it and climbs out of the water. Smégol sees him fondling it and as they both succumb to the Ring's power they begin to quarrel. The squabble turns into a fight; Smél strangles his friend with his bar."
zootopia,"In the town of Bunnyburrow, a kid bunny named Judy Hopps (Ginnifer Goodwin) is performing in a play for a talent show. The theme is that animals used to only be predator and prey, but now they have evolved to the point where they can all live side by side, and every animal can be whatever they want to be. She rips off her robe to reveal a police officer's uniform, and a fox kid in the audience named Gideon Gray (Phil Johnston) sneers at the idea that she could become a cop. After the performance, Judy talks to her parents, Stu (Pierre Lavit) and Bonnie (Bonnie Hunt), who try to talk her out of","Ginnifer Goodwin stars as Judy Hopps in ""Bunnyburrow"" The movie is set in the town of Bunnyburrow. The theme is that animals used to only be predator and prey."
the matrix,"The screen is filled with green, cascading code which gives way to the title, The Matrix.A phone rings and text appears on the screen: ""Call trans opt: received. 2-19-98 13:24:18 REC: Log>"" As a conversation takes place between Trinity (Carrie-Anne Moss) and Cypher (Joe Pantoliano), two free humans, a table of random green numbers are being scanned and individual numbers selected, creating a series of digits not unlike an ordinary phone number, as if a code is being deciphered or a call is being traced.Trinity discusses some unknown person. Cypher taunts Trinity, suggesting she enjoys watching","A phone rings and text appears on the screen: ""Call trans opt: received"" The screen is filled with green, cascading code which gives way to the title, The Matrix."
pinocchio,"The story begins with an inventor named Geppetto making a robot, Pinocchio, as his son. Meanwhile, an evil mayor named Scamboli is building a technological city called ""Scamboville"" to get rid of nature. He also hates all children, except for his beloved daughter, Marlene. When Marlene expresses concerns to Scamboli about there being no space for children to have fun, he sets out to make a kids-only theme park called ""Scamboland"".
That night, Geppetto and Spencer the Penguin are preparing to make Pinocchio come to life. But Scamboli has seized control of the city mains to light up his theme pa","The story begins with an inventor named Geppetto making a robot, Pinocchio, as his son. Meanwhile, an evil mayor named Scamboli is building a technological city called ""Scamboville"" He also hates all children, except for his beloved daughter, Marlene."
jurassic park,"Industrialist John Hammond and his bioengineering company, InGen, have created a theme park called Jurassic Park on Isla Nublar, a Costa Rican island, populated with cloned dinosaurs. After one of the dinosaur handlers is killed by a Velociraptor, the park's investors, represented by lawyer Donald Gennaro, say that experts must visit the park and certify it as safe. Gennaro invites mathematician and chaos theorist Ian Malcolm, while Hammond invites paleontologist Dr. Alan Grant and paleobotanist Dr. Ellie Sattler. Upon arrival, the group is stunned to see a live Brachiosaurus.
At the park's vi",Jurassic Park on Isla Nublar is populated with cloned dinosaurs. One of the park's handlers is killed by a Velociraptor. Experts must visit the park and certify it as safe.
up!,"In 1939, nine-year-old Carl Fredricksen idolizes famous explorer Charles F. Muntz. When Muntz is accused of fabricating the skeleton of a giant exotic bird he says he discovered at Paradise Falls, he vows not to return until he captures one alive. One day, Carl befriends a girl named Ellie, also a Muntz fan. She confides to Carl her desire to move her ""clubhouse""—an abandoned house in the neighborhood—to a cliff overlooking Paradise Falls.
Carl and Ellie grow up, get married and live in the restored house. Carl sells toy balloons at the zoo where Ellie works. After she suffers a miscarriage an","In 1939, nine-year-old Carl Fredricksen idolizes famous explorer Charles F. Muntz. Carl vows not to return until he captures one alive. Carl and Ellie grow up, get married and live in the restored house."
beauty and the beast,"A widower merchant lives in a mansion with his six children, three sons and three daughters. All his daughters are very beautiful, but the youngest, Beauty, is the most lovely, as well as kind, well-read, and pure of heart; while the two elder sisters, in contrast, are wicked, selfish, vain, and spoiled. They secretly taunt Beauty and treat her more like a servant than a sister. The merchant eventually loses all of his wealth in a tempest at sea which sinks most of his merchant fleet. He and his children are consequently forced to live in a small farmhouse and work for their living.
Some years","A widower merchant lives in a mansion with his six children, three sons and three daughters. All his daughters are very beautiful, but the youngest, Beauty, is the most lovely. The two elder sisters are wicked, selfish, vain, and spoiled. The merchant eventually loses all of his wealth in a tempest at sea."
titanic,"In 1996, treasure hunter Brock Lovett and his team aboard the research vessel Akademik Mstislav Keldysh search the wreck of RMS Titanic for a necklace with a rare diamond, the Heart of the Ocean. They recover a safe containing a drawing of a young woman wearing only the necklace dated April 14, 1912, the day the ship struck the iceberg. Rose Dawson Calvert, the woman in the drawing, is brought aboard Keldysh and tells Lovett of her experiences aboard Titanic.
In 1912 Southampton, 17-year-old first-class passenger Rose DeWitt Bukater, her fiancé Cal Hockley, and her mother Ruth board the luxuri","In 1996, treasure hunter Brock Lovett and his team aboard the research vessel Akademik Mstislav Keldysh search the wreck of RMS Titanic for a necklace with a rare diamond. They recover a safe containing a drawing of a young woman wearing only the necklace dated April 14, 1912, the day the ship struck the iceberg. Rose Dawson Calvert, the woman in the drawing, tells Lovett of her experiences aboard Titanic. In 1912 Southampton, 17-year-old first-class passenger Rose DeWitt Bukater, her fiancé Cal Hockley, and her mother Ruth board the luxuri."
mary poppins,"In Edwardian London, 1910, Bert entertains a crowd when he senses a change in the wind. Afterwards, he directly addresses the audience and gives them a tour of Cherry Tree Lane, stopping outside the home of the Banks family. George Banks returns home from his job at the bank to learn from Winifred that Katie Nanna has left their service after Jane and Michael ran away ""again"". They are returned shortly after by the local constable, who reveals the children were chasing a lost kite. The children ask their father to help build a better kite, but he dismisses them. Taking it upon himself to hire ","Bert entertains a crowd when he senses a change in the wind. Afterwards, he directly addresses the audience and gives them a tour of Cherry Tree Lane. George Banks returns home from his job at the bank to learn from Winifred that Katie Nanna has left their service after Jane and Michael ran away ""again"""
sleeping beauty,"After many childless years, King Stefan and Queen Leah happily welcome the birth of their daughter, the Princess Aurora. They proclaim a holiday for their subjects to pay homage to the princess, and at the gathering for her christening she is betrothed to Prince Phillip, the young son of Stefan's friend King Hubert, so that their kingdoms will always be united.
Among the guests are three good fairies called Flora, Fauna, and Merryweather, who have come to bless the child with gifts, beauty and song. Before Merryweather is able to give her blessing, the evil fairy Maleficent appears, only to be","King Stefan and Queen Leah welcome the birth of their daughter, the Princess Aurora. She is betrothed to Prince Phillip, the young son of Stefan's friend King Hubert. Among the guests are three good fairies called Flora, Fauna, and Merryweather."
iron man,"Genius, billionaire, and playboy Tony Stark, who has inherited the defense contractor Stark Industries from his father, is in war-torn Afghanistan, with his friend and military liaison Lieutenant Colonel James Rhodes, to demonstrate the new ""Jericho"" missile. After the demonstration, the convoy is ambushed and Stark is critically wounded by one of his own company's rocket-propelled grenades. He is captured and imprisoned in a cave by a terrorist group, the Ten Rings; Yinsen, a fellow captive who is a doctor, implants an electromagnet into Stark's chest to keep the shrapnel shards that wounded ",Billionaire Tony Stark is captured and imprisoned by a terrorist group. He is implanted with an electromagnet to keep the shrapnel shards that wounded him.
the lion king,"In the Pride Lands of Africa, a lion rules over the animal kingdom from Pride Rock. King Mufasa's newborn son, Simba, is presented to the assembled animals by Rafiki, a mandrill who serves as shaman and advisor. Mufasa shows young Simba the Pride Lands and explains to him the responsibilities of kingship and the ""circle of life"" which connects all living things. Mufasa's younger brother, Scar, covets the throne and plots to kill Mufasa and Simba so he can become king. He tricks Simba and his best friend Nala (whom Zazu reveals is betrothed to Simba) into exploring a forbidden elephants' gravey","In the Pride Lands of Africa, a lion rules over the animal kingdom from Pride Rock. King Mufasa\'s newborn son, Simba, is presented to the assembled animals by Rafiki, a mandrill who serves as shaman and advisor. Simba is shown the responsibilities of kingship and the ""circle of life"""
