Data,Autore,Nazionalità,Titolo,Descrizione
1995,Dava Sobel,Americana,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Racconta la storia della determinazione della longitudine in navigazione marittima.
1986,Richard Rhodes,Americana,The Making of the Atomic Bomb,Una storia dettagliata dello sviluppo della bomba atomica durante la Seconda Guerra Mondiale.
2015,Peter Frankopan,Britannica,The Silk Roads: A New History of the World,Esplora il ruolo delle vie della seta nella storia globale.
2009,Jon Meacham,Americana,American Lion: Andrew Jackson in the White House,Una biografia di Andrew Jackson e del suo impatto sulla presidenza degli Stati Uniti.
2017,Yuval Noah Harari,Israeliana,Homo Deus: Breve storia del futuro,Esamina il possibile futuro dell'umanità in termini di tecnologia
1974,Barbara W. Tuchman,Americana,A Distant Mirror: The Calamitous 14th Century,Una panoramica della vita nel XIV secolo
2010,Edmund de Waal,Britannica,The Hare with Amber Eyes: A Family's Century of Art and Loss,Una narrazione che segue una collezione di netsuke attraverso generazioni e continenti.
2008,Doris Kearns Goodwin,Americana,Team of Rivals: The Political Genius of Abraham Lincoln,Esplora la leadership di Lincoln durante la Guerra Civile americana.
2000,Eric Foner,Americana,The Story of American Freedom,Analizza l'evoluzione del concetto di libertà in America dalle origini al XX secolo.
1998,Stephen E. Ambrose,Americana,Band of Brothers,Racconta la storia della Easy Company durante la Seconda Guerra Mondiale
2014,Mary Beard,Britannica,SPQR: A History of Ancient Rome,Una storia approfondita di Roma
1984,Milan Kundera,Ceca,The Unbearable Lightness of Being,Ambientato nella Praga degli anni '60
2002,Niall Ferguson,Britannica,Empire: How Britain Made the Modern World,Analizza l'impatto dell'Impero britannico sulla formazione del mondo moderno.
2012,Hilary Mantel,Britannica,Bring Up the Bodies,Il secondo libro della trilogia di Thomas Cromwell
2005,Jared Diamond,Americana,Collapse: How Societies Choose to Fail or Succeed,Esamina le cause del collasso di alcune civiltà e le lezioni per il presente.
1997,Arundhati Roy,Indiana,The God of Small Things,Una storia familiare ambientata nel Kerala
2016,Ron Chernow,Americana,Alexander Hamilton,Una biografia completa di Alexander Hamilton
1980,Jean Edward Smith,Americana,John Marshall: Definer of a Nation,Una biografia che esplora il ruolo di John Marshall nella storia giuridica e politica degli Stati Uniti.
2003,Khaled Hosseini,Afghan,The Kite Runner,Una storia toccante di amicizia e redenzione ambientata in Afghanistan.
2018,Doris Kearns Goodwin,Americana,Leadership: In Turbulent Times,Analizza la leadership di quattro presidenti americani durante momenti cruciali della storia.
1992,James M. McPherson,Americana,Battle Cry of Freedom,Una storia epica della Guerra Civile americana e delle sue conseguenze.
2013,Sheryl Sandberg,Americana,Lean In: Women,Work
1989,Salman Rushdie,Indiano-britannico,The Satanic Verses,Un romanzo che affronta temi di religione
1958,Italo Calvino,Italiana,Il Barone Rampante,La storia di un giovane che decide di vivere sugli alberi e la sua vita fuori dal mondo terreno.
1981,Umberto Eco,Italiana,The Name of the Rose,Un giallo storico ambientato in un monastero nel XIV secolo
2006,Elena Ferrante,Italiana,My Brilliant Friend,Il primo libro della serie L'amica geniale
1979,Primo Levi,Italiana,The Periodic Table,Una raccolta di racconti collegati ai diversi elementi della tavola periodica
1994,Roberto Saviano,Italiana,Gomorrah,Un'inchiesta sul crimine organizzato a Napoli e la sua influenza sulla società.
1963,Giuseppe Tomasi di Lampedusa,Italiana,The Leopard,Una saga familiare ambientata nella Sicilia del XIX secolo durante un periodo di cambiamento politico.
2010,Andrea Camilleri,Italiana,The Shape of Water,Il primo libro della serie di Montalbano
1956,Cesare Pavese,Italiana,The Moon and the Bonfires,Un ritratto della vita di un reduce di guerra che torna al suo villaggio natale nel nord Italia.
2009,Roberto Bolaño,cileno-italiano,2666,Un romanzo complesso che attraversa diversi generi e storie
1988,Natalia Ginzburg,Italiana,The Little Virtues,Una raccolta di saggi che esplorano temi come la famiglia
1958,Italo Calvino,Italiana,Il Barone Rampante,La storia di Cosimo
1981,Umberto Eco,Italiana,The Name of the Rose (Il nome della rosa),Un giallo storico che si svolge in un monastero italiano nel XIV secolo
2014,Elena Ferrante,Italiana,My Brilliant Friend (L'amica geniale),Il primo libro della serie de "L'amica geniale" che segue l'amicizia di due ragazze cresciute a Napoli dal 1950.
1994,Alessandro Baricco,Italiana,Silk (Seta),Una storia d'amore e avventura ambientata nel XIX secolo
1979,Primo Levi,Italiana,The Periodic Table (La tavola periodica),Una combinazione di autobiografia e racconti
2019,Roberto Saviano,Italiana,Piranhas (La paranza dei bambini),Un romanzo che esplora la criminalità giovanile a Napoli
1963,Leonardo Sciascia,Italiana,The Day of the Owl (Il giorno della civetta),Un romanzo noir che affronta la mafia in Sicilia negli anni '60.
2006,Paolo Giordano,Italiana,The Solitude of Prime Numbers (La solitudine dei numeri primi),Una storia di amicizia e amore tra due personaggi problematici
1990,Italo Calvino,Italiana,The Path to the Nest of Spiders (Il sentiero dei nidi di ragno),Un romanzo che segue un giovane partigiano italiano durante la Seconda Guerra Mondiale.
2017,Francesca Melandri,Italiana,Eva Sleeps (Eva dorme),Un viaggio alla scoperta delle radici familiari e della storia italiana attraverso i Balcani.
